Date,Close
22/04/2026,960.12
21/04/2026,960.19
20/04/2026,956.67
17/04/2026,948.54
16/04/2026,945.07
15/04/2026,939.74
14/04/2026,932.43
13/04/2026,922.11
10/04/2026,921.84
09/04/2026,915.03
08/04/2026,916.17
07/04/2026,896.61
02/04/2026,885.12
01/04/2026,886.33
31/03/2026,865.92
30/03/2026,855.22
27/03/2026,855.94
26/03/2026,863.66
25/03/2026,870.15
24/03/2026,855.7
23/03/2026,852.7
20/03/2026,871.84
19/03/2026,879.62
18/03/2026,906.47
17/03/2026,902.76
16/03/2026,904.34
13/03/2026,916.84
12/03/2026,925.26
11/03/2026,931.55
10/03/2026,935.18
09/03/2026,923.85
06/03/2026,942.66
05/03/2026,952.07
04/03/2026,947.93
03/03/2026,950.65
02/03/2026,977.73
27/02/2026,985.27
26/02/2026,982.38
25/02/2026,979.08
24/02/2026,973.16
23/02/2026,974.16
20/02/2026,972.02
19/02/2026,971.33
18/02/2026,970.37
17/02/2026,967.82
16/02/2026,971.67
13/02/2026,965.52
12/02/2026,975.67
11/02/2026,975.6
10/02/2026,975.68
09/02/2026,972.23
06/02/2026,961.63
05/02/2026,968.94
04/02/2026,974.16
03/02/2026,974.95
02/02/2026,970.21
30/01/2026,981.53
29/01/2026,993.04
28/01/2026,986.37
27/01/2026,983.63
26/01/2026,974.8
23/01/2026,968.58
22/01/2026,962.73
21/01/2026,948.62
20/01/2026,945.61
19/01/2026,950.66
16/01/2026,952.21
15/01/2026,961.67
14/01/2026,956.51
13/01/2026,941.26
12/01/2026,934.83
09/01/2026,930.19
08/01/2026,925.27
07/01/2026,920.83
06/01/2026,921.06
05/01/2026,913.73
02/01/2026,913.29
31/12/2025,911.04
30/12/2025,907.49
29/12/2025,906.36
24/12/2025,900.92
23/12/2025,899.87
22/12/2025,894.91
19/12/2025,890.81
18/12/2025,888.97
17/12/2025,889.48
16/12/2025,888.07
15/12/2025,887.79
12/12/2025,888.12
11/12/2025,881.86
10/12/2025,880.04
09/12/2025,879.78
08/12/2025,877.8
05/12/2025,879.91
04/12/2025,876.39
03/12/2025,878.15
02/12/2025,878.05
01/12/2025,878.96
28/11/2025,879.4
27/11/2025,876.05
26/11/2025,869.24
25/11/2025,865.81
24/11/2025,860.52
21/11/2025,859.08
20/11/2025,867.36
19/11/2025,861.58
18/11/2025,857.71
17/11/2025,868.08
14/11/2025,865.64
13/11/2025,881.14
12/11/2025,881.47
11/11/2025,878.24
10/11/2025,878.19
07/11/2025,862.47
06/11/2025,879.22
05/11/2025,876.9
04/11/2025,880.07
03/11/2025,891.14
31/10/2025,888.36
30/10/2025,888.33
29/10/2025,894.78
28/10/2025,887.67
27/10/2025,892.61
24/10/2025,889.4
23/10/2025,885.59
22/10/2025,879.09
21/10/2025,883.84
20/10/2025,881.34
17/10/2025,871.09
